Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
"data tidak terferivikasi jawabnya umur 16 tahun. aneh mana ada 16 tahun boleh ada ktp, kan lucu",data tidak terferivikasi jawabnya umur tahun aneh mana tahun boleh lucu,data tidak terferivikasi jawabnya umur tahun aneh mana tahun boleh lucu,"['data', 'tidak', 'terferivikasi', 'jawabnya', 'umur', 'tahun', 'aneh', 'mana', 'tahun', 'boleh', 'lucu']","['data', 'terferivikasi', 'umur', 'aneh', 'lucu']",data terferivikasi umur aneh lucu
good,good,good,['good'],['good'],good
sangat membantu serta memberikan kemudahan di saat belanja.,sangat membantu serta memberikan kemudahan saat belanja,sangat membantu serta memberikan kemudahan saat belanja,"['sangat', 'membantu', 'serta', 'memberikan', 'kemudahan', 'saat', 'belanja']","['membantu', 'kemudahan', 'belanja']",bantu mudah belanja
apk dongo gapunya saldo mau pesan makan pembayaran tunai(cod) tidak tersedia aneh aneh bikin susah,dongo gapunya saldo pesan makan pembayaran tunaicod tidak tersedia aneh aneh bikin susah,dongo tidak punya saldo pesan makan pembayaran tunaicod tidak tersedia aneh aneh bikin susah,"['dongo', 'tidak', 'punya', 'saldo', 'pesan', 'makan', 'pembayaran', 'tunaicod', 'tidak', 'tersedia', 'aneh', 'aneh', 'bikin', 'susah']","['dongo', 'saldo', 'pesan', 'makan', 'pembayaran', 'tunaicod', 'tersedia', 'aneh', 'aneh', 'bikin', 'susah']",dongo saldo pesan makan bayar tunaicod sedia aneh aneh bikin susah
bagus aman mudah dan cepat dalam segala transaksi hanya tolong banyak reseler yang ga jujur sering tidak sesuai pesanan,bagus aman mudah cepat dalam segala transaksi hanya tolong banyak reseler yang jujur sering tidak sesuai pesanan,bagus aman mudah cepat dalam segala transaksi hanya tolong banyak reseler yang jujur sering tidak sesuai pesanan,"['bagus', 'aman', 'mudah', 'cepat', 'dalam', 'segala', 'transaksi', 'hanya', 'tolong', 'banyak', 'reseler', 'yang', 'jujur', 'sering', 'tidak', 'sesuai', 'pesanan']","['bagus', 'aman', 'mudah', 'cepat', 'transaksi', 'tolong', 'reseler', 'jujur', 'sesuai', 'pesanan']",bagus aman mudah cepat transaksi tolong reseler jujur sesuai pesan
"kalo bisa sih tambahin fitur keamanan verifikasi wajah saat login, mengantisipasi klo nomor mati dan di daur ulang",kalo bisa tambahin fitur keamanan verifikasi wajah saat login mengantisipasi nomor mati daur ulang,kalau bisa tambahkan fitur keamanan verifikasi wajah saat login mengantisipasi nomor mati daur ulang,"['kalau', 'bisa', 'tambahkan', 'fitur', 'keamanan', 'verifikasi', 'wajah', 'saat', 'login', 'mengantisipasi', 'nomor', 'mati', 'daur', 'ulang']","['tambahkan', 'fitur', 'keamanan', 'verifikasi', 'wajah', 'login', 'mengantisipasi', 'nomor', 'mati', 'daur', 'ulang']",tambah fitur aman verifikasi wajah login antisipasi nomor mati daur ulang
sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
"kak kok saya tranfer dana saldo gak kirim tapi saldo akun shopeepay hilang ya kak gak kesana nya, tapi saldo gak kembali, notif transfer tanda berhasil gak ada? apakah shoopepay jadi penipu sekarang? gak ada notif, tanda pembayaran seperti biasanya,pemberitahuan gak ada berhasil/gagal gak ada, plis shopee kembali saldo saya mau 406k lebih itu nyari nya gak gampang ya, pihak shopee sekarang perbaiki bug ini ini merugikan semua orang kejadian pukul 16.58 perkiraan kejadian: tolong ya!!",saya tranfer dana saldo kirim tapi saldo akun shopeepay hilang kesana tapi saldo kembali notif transfer tanda berhasil apakah shoopepay jadi penipu sekarang notif tanda pembayaran seperti biasanyapemberitahuan berhasilgagal plis shopee kembali saldo saya k lebih nyari gampang pihak shopee sekarang perbaiki merugikan semua orang kejadian pukul  perkiraan kejadian tolong,saya tranfer dana saldo kirim tapi saldo akun shopeepay hilang kesana tapi saldo kembali notif transfer tanda berhasil apakah shoopepay jadi penipu sekarang notif tanda pembayaran seperti biasanyapemberitahuan berhasilgagal plis shopee kembali saldo saya ke lebih mencari gampang pihak shopee sekarang perbaiki merugikan semua orang kejadian pukul perkiraan kejadian tolong,"['saya', 'tranfer', 'dana', 'saldo', 'kirim', 'tapi', 'saldo', 'akun', 'shopeepay', 'hilang', 'kesana', 'tapi', 'saldo', 'kembali', 'notif', 'transfer', 'tanda', 'berhasil', 'apakah', 'shoopepay', 'jadi', 'penipu', 'sekarang', 'notif', 'tanda', 'pembayaran', 'seperti', 'biasanyapemberitahuan', 'berhasilgagal', 'plis', 'shopee', 'kembali', 'saldo', 'saya', 'ke', 'lebih', 'mencari', 'gampang', 'pihak', 'shopee', 'sekarang', 'perbaiki', 'merugikan', 'semua', 'orang', 'kejadian', 'pukul', 'perkiraan', 'kejadian', 'tolong']","['tranfer', 'dana', 'saldo', 'kirim', 'saldo', 'akun', 'shopeepay', 'hilang', 'kesana', 'saldo', 'notif', 'transfer', 'tanda', 'berhasil', 'shoopepay', 'penipu', 'notif', 'tanda', 'pembayaran', 'biasanyapemberitahuan', 'berhasilgagal', 'plis', 'shopee', 'saldo', 'mencari', 'gampang', 'shopee', 'perbaiki', 'merugikan', 'orang', 'kejadian', 'perkiraan', 'kejadian', 'tolong']",tranfer dana saldo kirim saldo akun shopeepay hilang kesana saldo notif transfer tanda hasil shoopepay tipu notif tanda bayar biasanyapemberitahuan berhasilgagal plis shopee saldo cari gampang shopee baik rugi orang jadi kira jadi tolong
sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus
transaksi keuangan cepat pake shopeepay,transaksi keuangan cepat pake shopeepay,transaksi keuangan cepat pakai shopeepay,"['transaksi', 'keuangan', 'cepat', 'pakai', 'shopeepay']","['transaksi', 'keuangan', 'cepat', 'pakai', 'shopeepay']",transaksi uang cepat pakai shopeepay
