full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
BMKG Ingatkan Gempa Megathrust RI Tunggu Waktu Cek Zona Merahnya https://t.co/0t2w6UwU8S,bmkg ingatkan gempa megathrust tunggu waktu zona merahnya tcotwuwus,bmkg ingatkan gempa megathrust tunggu waktu zona merahnya tcotwuwus,"['bmkg', 'ingatkan', 'gempa', 'megathrust', 'tunggu', 'waktu', 'zona', 'merahnya', 'tcotwuwus']","['bmkg', 'ingatkan', 'gempa', 'megathrust', 'tunggu', 'zona', 'merahnya', 'tcotwuwus']",bmkg ingat gempa megathrust tunggu zona merah tcotwuwus
@BPBDJakarta Sukses pak harus sering nih hadapin issu megathrust,bpbdjakarta sukses harus sering hadapin issu megathrust,bpbdjakarta sukses harus sering menghadapi issu megathrust,"['bpbdjakarta', 'sukses', 'harus', 'sering', 'menghadapi', 'issu', 'megathrust']","['bpbdjakarta', 'sukses', 'menghadapi', 'issu', 'megathrust']",bpbdjakarta sukses hadap issu megathrust
@kegblgnunfaedh Parah parah parah rusak semua anak buah mu Pak @ListyoSigitP rusak emang pantes ditenggelemin gempa megathrust kalian semua.,kegblgnunfaedh parah parah parah rusak semua anak buah listyosigitp rusak emang pantes ditenggelemin gempa megathrust kalian semua,kegblgnunfaedh parah parah parah rusak semua anak buah listyosigitp rusak memang pantas ditenggelemin gempa megathrust kalian semua,"['kegblgnunfaedh', 'parah', 'parah', 'parah', 'rusak', 'semua', 'anak', 'buah', 'listyosigitp', 'rusak', 'memang', 'pantas', 'ditenggelemin', 'gempa', 'megathrust', 'kalian', 'semua']","['kegblgnunfaedh', 'parah', 'parah', 'parah', 'rusak', 'anak', 'buah', 'listyosigitp', 'rusak', 'ditenggelemin', 'gempa', 'megathrust']",kegblgnunfaedh parah parah parah rusak anak buah listyosigitp rusak ditenggelemin gempa megathrust
@VIVAcoid Ogh keinginan nya pd smakin k sini smakin k sana sii gak mutu blassenak d elu dong hai para koruptor ada yg minta jng d tayangin / d publish ini lagi minta d telpon sbelum d tngkap nek omong empuk kyo gudir oalah TuHan ku kira2 megathrust br nyampe mana hyak ‍️,vivacoid keinginan smakin sini smakin sana mutu blassenak dong para koruptor minta tayangin publish lagi minta telpon sbelum tngkap omong empuk gudir oalah tuhan kira megathrust nyampe mana hyak,vivacoid keinginan semakin sini semakin sana mutu blassenak dong para koruptor meminta tayangin publish lagi meminta telpon sebelum tngkap omong empuk gudir oalah tuhan kira megathrust sampai mana hyak,"['vivacoid', 'keinginan', 'semakin', 'sini', 'semakin', 'sana', 'mutu', 'blassenak', 'dong', 'para', 'koruptor', 'meminta', 'tayangin', 'publish', 'lagi', 'meminta', 'telpon', 'sebelum', 'tngkap', 'omong', 'empuk', 'gudir', 'oalah', 'tuhan', 'kira', 'megathrust', 'sampai', 'mana', 'hyak']","['vivacoid', 'mutu', 'blassenak', 'koruptor', 'tayangin', 'publish', 'telpon', 'tngkap', 'omong', 'empuk', 'gudir', 'oalah', 'tuhan', 'megathrust', 'hyak']",vivacoid mutu blassenak koruptor tayangin publish telpon tngkap omong empuk gudir oalah tuhan megathrust hyak
@CouncilRiki @CouncilWonbin @CouncilWonyoung @CouncilTaesan @CouncilSullyoon Kalo ada megathrust berarti duniawi yang kaga nafsu sama lu,councilriki councilwonbin councilwonyoung counciltaesan councilsullyoon kalo megathrust berarti duniawi yang kaga nafsu sama,councilriki councilwonbin councilwonyoung counciltaesan councilsullyoon kalau megathrust berarti duniawi yang kagak nafsu sama,"['councilriki', 'councilwonbin', 'councilwonyoung', 'counciltaesan', 'councilsullyoon', 'kalau', 'megathrust', 'berarti', 'duniawi', 'yang', 'kagak', 'nafsu', 'sama']","['councilriki', 'councilwonbin', 'councilwonyoung', 'counciltaesan', 'councilsullyoon', 'megathrust', 'duniawi', 'kagak', 'nafsu']",councilriki councilwonbin councilwonyoung counciltaesan councilsullyoon megathrust duniawi kagak nafsu
Skala yang lebih kecil daripada Megathrust tapi kepanikan tetap luar biasa bukan? Apalagi kalau Megathrustnya yang akan meledak nanti.,skala yang lebih kecil daripada megathrust tapi kepanikan tetap luar biasa bukan apalagi kalau megathrustnya yang akan meledak nanti,skala yang lebih kecil daripada megathrust tapi kepanikan tetap luar biasa bukan apalagi kalau megathrustnya yang akan meledak nanti,"['skala', 'yang', 'lebih', 'kecil', 'daripada', 'megathrust', 'tapi', 'kepanikan', 'tetap', 'luar', 'biasa', 'bukan', 'apalagi', 'kalau', 'megathrustnya', 'yang', 'akan', 'meledak', 'nanti']","['skala', 'megathrust', 'kepanikan', 'megathrustnya', 'meledak']",skala megathrust panik megathrustnya ledak
Seperti saat ini ancaman Megathrust Mentawai-Siberut. Masih saja sok-sok denial dengan dalih agama. Ketika bencana terjadi tanpa persiapan palingan kalang kabut dan panik sendiri. Pengalaman terbaru gempa Mentawai 2023 dini hari itu dengan...,seperti saat ancaman megathrust mentawaisiberut masih saja soksok denial dengan dalih agama ketika bencana terjadi tanpa persiapan palingan kalang kabut panik sendiri pengalaman terbaru gempa mentawai  dini hari dengan,seperti saat ancaman megathrust mentawaisiberut masih saja soksok denial dengan dalih agama ketika bencana terjadi tanpa persiapan palingan kalang kabut panik sendiri pengalaman terbaru gempa mentawai dini hari dengan,"['seperti', 'saat', 'ancaman', 'megathrust', 'mentawaisiberut', 'masih', 'saja', 'soksok', 'denial', 'dengan', 'dalih', 'agama', 'ketika', 'bencana', 'terjadi', 'tanpa', 'persiapan', 'palingan', 'kalang', 'kabut', 'panik', 'sendiri', 'pengalaman', 'terbaru', 'gempa', 'mentawai', 'dini', 'hari', 'dengan']","['ancaman', 'megathrust', 'mentawaisiberut', 'soksok', 'denial', 'dalih', 'agama', 'bencana', 'persiapan', 'palingan', 'kalang', 'kabut', 'panik', 'pengalaman', 'terbaru', 'gempa', 'mentawai']",ancam megathrust mentawaisiberut soksok denial dalih agama bencana siap paling kalang kabut panik alam baru gempa tawa
@Trail_Cams nanti gimana kalau megathrust.. aku bahkan nggak bisa nyelamatin kalian.. sedih banget ;'(,trailcams nanti gimana kalau megathrust bahkan nggak bisa nyelamatin kalian sedih banget,trailcams nanti bagaimana kalau megathrust bahkan tidak bisa nyelamatin kalian sedih banget,"['trailcams', 'nanti', 'bagaimana', 'kalau', 'megathrust', 'bahkan', 'tidak', 'bisa', 'nyelamatin', 'kalian', 'sedih', 'banget']","['trailcams', 'megathrust', 'nyelamatin', 'sedih', 'banget']",trailcams megathrust nyelamatin sedih banget
@hanwnni CAPEK MEGATHRUST BANGET. ,hanwnni capek megathrust banget,hanwnni capek megathrust banget,"['hanwnni', 'capek', 'megathrust', 'banget']","['hanwnni', 'capek', 'megathrust', 'banget']",hanwnni capek megathrust banget
@ymuungjae bukan roller coaster lagi kak udah kayak tsunami megathrust :),ymuungjae bukan roller coaster lagi udah kayak tsunami megathrust,ymuungjae bukan roller coaster lagi sudah kayak tsunami megathrust,"['ymuungjae', 'bukan', 'roller', 'coaster', 'lagi', 'sudah', 'kayak', 'tsunami', 'megathrust']","['ymuungjae', 'roller', 'coaster', 'kayak', 'tsunami', 'megathrust']",ymuungjae roller coaster kayak tsunami megathrust
