"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1600016466656473088","Tue Dec 06 06:51:49 +0000 2022","4","@DaryonoBMKG apakah bisa jadi tanda foreshock untuk gempa megathrust pak?","1600020169472241664","","DaryonoBMKG","in","","0","1","0","https://x.com/undefined/status/1600020169472241664","1132926087342641152",
"1600014460839600129","Tue Dec 06 06:45:31 +0000 2022","0","@infoBMKG Semoga bukan awal dari Megathrust :(","1600018582054010880","","infoBMKG","in","","0","0","0","https://x.com/undefined/status/1600018582054010880","2380616298",
"1600009857855520768","Tue Dec 06 06:43:28 +0000 2022","0","@infomalang Semoga bukan awal dari Megathrust :(","1600018065453772800","","infomalang","in","","0","0","0","https://x.com/undefined/status/1600018065453772800","2380616298",
"1600016805598097408","Tue Dec 06 06:38:27 +0000 2022","0","Megathrust selatan jawa ","1600016805598097408","","","in","","0","1","0","https://x.com/undefined/status/1600016805598097408","124181599",
"1600013542786469888","Tue Dec 06 06:25:30 +0000 2022","0","Yg jember di patahan megathrust ?","1600013542786469888","","","in","","0","0","0","https://x.com/undefined/status/1600013542786469888","150607370",
"1600011244039467008","Tue Dec 06 06:21:27 +0000 2022","0","@kyona_7898 Mana lokasi gempanya pas di megathrust juga :'v","1600012523784192000","","","in","","0","0","0","https://x.com/undefined/status/1600012523784192000","1326681254092103681",
"1600012450451324928","Tue Dec 06 06:21:09 +0000 2022","3","Di megathrust? https://t.co/zW104YjwCj","1600012450451324928","https://pbs.twimg.com/media/FjRi2AiaMAEgJov.jpg","","in","","0","0","0","https://x.com/undefined/status/1600012450451324928","480430456",
"1600010011169603584","Tue Dec 06 06:15:16 +0000 2022","0","@Jogja_Uncover Masuk di zona megathrust kah mas?","1600010969014358017","","Jogja_Uncover","in","","1","0","0","https://x.com/undefined/status/1600010969014358017","126250445",
"1599919046845427712","Tue Dec 06 04:32:45 +0000 2022","0","@waifunicorobin @tanyarlfes jangan sampe kejadian sih megathrust itu :( bakal seram bgt hopefully keamanan selalu menyertai kita Aamiin Yaa Mujiib.","1599985171889278977","","jamjamtrap","in","","0","0","0","https://x.com/undefined/status/1599985171889278977","1289175792669167617",
"1599953954426978306","Tue Dec 06 02:28:43 +0000 2022","0","Sebentar lagi yg akan terjadi dan sudah dimulai adalah gunung-gunung meletus gempa-gempa megathrust tsunami hujan jutaan meteor dan banjir nuh jilid2 semua itu hanyalah gemuruh alam menyambut bumi dipimpin oleh satu orang sang pemimpin akhir zaman al imam Al Mahdi as ","1599953954426978306","","","in","","0","0","1","https://x.com/undefined/status/1599953954426978306","1512830021857325060",
"1599890144592801792","Mon Dec 05 22:15:09 +0000 2022","0","Potensi. Bisa iya bisa tidak. Doa kita semoga gak terjadi. Tapi kita selalu waspada. https://t.co/Nh7QJwbemV","1599890144592801792","","","in","","0","0","0","https://x.com/undefined/status/1599890144592801792","1154169276737024000",
"1599732483247214592","Mon Dec 05 11:48:40 +0000 2022","0","Sebentar lagi yg akan terjadi dan sudah dimulai adalah gunung-gunung meletus gempa-gempa megathrust tsunami hujan jutaan meteor dan banjir nuh jilid2 semua itu hanyalah gemuruh alam menyambut bumi dipimpin oleh satu orang sang pemimpin akhir zaman al imam Al Mahdi as ","1599732483247214592","","","in","","0","0","0","https://x.com/undefined/status/1599732483247214592","1512830021857325060",
"1599715214546853889","Mon Dec 05 10:40:03 +0000 2022","0","Tuhan Yesus itu Sangat baik memberikan tanda alami kepada manusia bahkan melindungi manusia dari malapetaka.karena malapetaka diperuntukan untuk org yg tdk percaya kepada Tuhan Yesus. https://t.co/FkFJKZNFIB","1599715214546853889","","","in","","0","0","0","https://x.com/undefined/status/1599715214546853889","131720346",
"1599661866359615489","Mon Dec 05 07:08:03 +0000 2022","539","Awas! Selatan Jawa Berpotensi Gempa Megathrust M 9.0 dan Tsunami 34 Meter https://t.co/iURte4IFwH","1599661866359615489","","","in","","21","81","134","https://x.com/undefined/status/1599661866359615489","41730943",
"1599643595031691265","Mon Dec 05 05:55:27 +0000 2022","0","Gempa Cianjur-Garut-Lombok Satu Rentetan Menuju Megathrust https://t.co/YthviRKAck","1599643595031691265","","","in","","0","0","0","https://x.com/undefined/status/1599643595031691265","1330090702022336514",
"1599641323325325312","Mon Dec 05 05:46:26 +0000 2022","26","Jakarta Terancam Berpotensi Gempa Bumi Megathrust 8 9 SR dan Tsunami 34 Meter Ini Kata Ahli https://t.co/VQsWPb9WGm","1599641323325325312","","","in","","2","1","14","https://x.com/undefined/status/1599641323325325312","1226436091617505281",
"1599639773496627200","Mon Dec 05 05:40:16 +0000 2022","2","https://t.co/gY9UuzSI7R Mudah2an jangan terjadi sunggu bijak meminjdahkan ibukota menghindari hal2 semacan ini","1599639773496627200","","","in","","0","0","0","https://x.com/undefined/status/1599639773496627200","1210028765411037184",
"1599588250750185473","Mon Dec 05 02:15:32 +0000 2022","1","Gempa Megathrust Diprediksi Sampai Jakarta Ini Penjelasan Pakar Geodesi ITB https://t.co/uBFfIoiw36","1599588250750185473","","","in","","0","0","1","https://x.com/undefined/status/1599588250750185473","282667727",
"1599572118144188417","Mon Dec 05 01:11:26 +0000 2022","0","orang kok tetep jahatyah padahal udah ada peringatan waspada megathrust...","1599572118144188417","","","in","","0","0","0","https://x.com/undefined/status/1599572118144188417","110994291",
"1599553388630675457","Sun Dec 04 23:57:00 +0000 2022","0","Kenapa ibukota negara harus pindah ke Kalimantan..?? Ternyata ada sesar bernama sesar baribis yg membentang dari Purwakarta sampai Rangkas bitung melewati bekasi selatan jkt &amp; tangerang berpotensi gempa megatrust 8 7 M.. Kadrun nyinyir aje..!! https://t.co/W2Gk4LoXiJ","1599553388630675457","","","in","","0","1","0","https://x.com/undefined/status/1599553388630675457","1176464863230455809",
"1599553156027133952","Sun Dec 04 23:56:05 +0000 2022","7","Sesar Baribis Aktif Jakarta Terancam Berpotensi Gempa Bumi Megathrust 8 9 SR dan Tsunami 34 Meter Kata Ahli https://t.co/tmvBa3l7S1","1599553156027133952","","","in","","0","1","2","https://x.com/undefined/status/1599553156027133952","1531957384213843970",
"1599535208612909057","Sun Dec 04 22:44:46 +0000 2022","0","Ngeri liat akunnya @infoBMKG notif gempa bumi terus nambah banyak konsekuensi hidup di ring of fire dan lempeng megathrust","1599535208612909057","","","in","","0","0","0","https://x.com/undefined/status/1599535208612909057","987546229",
"1599466101217587206","Sun Dec 04 18:24:00 +0000 2022","0","@infoBMKG Jangan sampai ini jadi tanda atau rangkaian Megathrust karena beberapa hari ini jawa selatan di isu kan dengan bencana besar","1599469583400054784","","infoBMKG","in","","0","1","0","https://x.com/undefined/status/1599469583400054784","1461788939971223553",
